행정구역,2023년12월_계_총인구수,2023년12월_계_연령구간인구수,2023년12월_계_0~9세,2023년12월_계_10~19세,2023년12월_계_20~29세,2023년12월_계_30~39세,2023년12월_계_40~49세,2023년12월_계_50~59세,2023년12월_계_60~69세,2023년12월_계_70~79세,2023년12월_계_80~89세,2023년12월_계_90~99세,2023년12월_계_100세 이상,2023년12월_남_총인구수,2023년12월_남_연령구간인구수,2023년12월_남_0~9세,2023년12월_남_10~19세,2023년12월_남_20~29세,2023년12월_남_30~39세,2023년12월_남_40~49세,2023년12월_남_50~59세,2023년12월_남_60~69세,2023년12월_남_70~79세,2023년12월_남_80~89세,2023년12월_남_90~99세,2023년12월_남_100세 이상,2023년12월_여_총인구수,2023년12월_여_연령구간인구수,2023년12월_여_0~9세,2023년12월_여_10~19세,2023년12월_여_20~29세,2023년12월_여_30~39세,2023년12월_여_40~49세,2023년12월_여_50~59세,2023년12월_여_60~69세,2023년12월_여_70~79세,2023년12월_여_80~89세,2023년12월_여_90~99세,2023년12월_여_100세 이상
제주특별자치도  (5000000000),675252 ,675252 ,51403 ,70469 ,74037 ,78167 ,108720 ,118487 ,93983 ,47881 ,26824 ,4986 ,295 ,337976 ,337976 ,26386 ,36468 ,39448 ,39613 ,55331 ,61292 ,46954 ,21993 ,9556 ,918 ,17 ,337276 ,337276 ,25017 ,34001 ,34589 ,38554 ,53389 ,57195 ,47029 ,25888 ,17268 ,4068 ,278 
제주특별자치도 제주특별자치도 제주시 (5011000000),491654 ,491654 ,38632 ,52734 ,57044 ,59940 ,79832 ,85664 ,64901 ,31930 ,17436 ,3334 ,207 ,245561 ,245561 ,19787 ,27253 ,30145 ,30497 ,40458 ,43766 ,32230 ,14630 ,6185 ,598 ,12 ,246093 ,246093 ,18845 ,25481 ,26899 ,29443 ,39374 ,41898 ,32671 ,17300 ,11251 ,2736 ,195 
제주특별자치도 제주특별자치도 서귀포시 (5013000000),183598 ,183598 ,12771 ,17735 ,16993 ,18227 ,28888 ,32823 ,29082 ,15951 ,9388 ,1652 ,88 ,92415 ,92415 ,6599 ,9215 ,9303 ,9116 ,14873 ,17526 ,14724 ,7363 ,3371 ,320 ,5 ,91183 ,91183 ,6172 ,8520 ,7690 ,9111 ,14015 ,15297 ,14358 ,8588 ,6017 ,1332 ,83 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
