행정구역,2023년12월_계_총인구수,2023년12월_계_연령구간인구수,2023년12월_계_0~9세,2023년12월_계_10~19세,2023년12월_계_20~29세,2023년12월_계_30~39세,2023년12월_계_40~49세,2023년12월_계_50~59세,2023년12월_계_60~69세,2023년12월_계_70~79세,2023년12월_계_80~89세,2023년12월_계_90~99세,2023년12월_계_100세 이상,2023년12월_남_총인구수,2023년12월_남_연령구간인구수,2023년12월_남_0~9세,2023년12월_남_10~19세,2023년12월_남_20~29세,2023년12월_남_30~39세,2023년12월_남_40~49세,2023년12월_남_50~59세,2023년12월_남_60~69세,2023년12월_남_70~79세,2023년12월_남_80~89세,2023년12월_남_90~99세,2023년12월_남_100세 이상,2023년12월_여_총인구수,2023년12월_여_연령구간인구수,2023년12월_여_0~9세,2023년12월_여_10~19세,2023년12월_여_20~29세,2023년12월_여_30~39세,2023년12월_여_40~49세,2023년12월_여_50~59세,2023년12월_여_60~69세,2023년12월_여_70~79세,2023년12월_여_80~89세,2023년12월_여_90~99세,2023년12월_여_100세 이상,,,,
경상남도 경상남도 거제시 (4831000000),234038 ,234038 ,18932 ,28353 ,20126 ,26157 ,46089 ,43042 ,31511 ,13042 ,5804 ,960 ,22 ,122542 ,122542 ,9794 ,14739 ,11563 ,13545 ,24699 ,23592 ,16109 ,6385 ,1932 ,180 ,4 ,111496 ,111496 ,9138 ,13614 ,8563 ,12612 ,21390 ,19450 ,15402 ,6657 ,3872 ,780 ,18 ,,,,
경상남도 경상남도 양산시 (4833000000),355122 ,355122 ,28534 ,35755 ,34950 ,44329 ,61629 ,61518 ,51255 ,24491 ,11226 ,1395 ,40 ,177596 ,177596 ,14684 ,18164 ,18772 ,22863 ,31472 ,30746 ,25342 ,11229 ,3996 ,320 ,8 ,177526 ,177526 ,13850 ,17591 ,16178 ,21466 ,30157 ,30772 ,25913 ,13262 ,7230 ,1075 ,32 ,,,,
경상남도 경상남도 의령군 (4872000000),25475 ,25475 ,838 ,1348 ,1461 ,1500 ,2421 ,4289 ,6097 ,3815 ,3125 ,564 ,17 ,12668 ,12668 ,459 ,719 ,881 ,787 ,1365 ,2405 ,3294 ,1750 ,897 ,106 ,5 ,12807 ,12807 ,379 ,629 ,580 ,713 ,1056 ,1884 ,2803 ,2065 ,2228 ,458 ,12 ,,,,
경상남도 경상남도 함안군 (4873000000),60203 ,60203 ,2795 ,5523 ,4355 ,4336 ,8112 ,10841 ,12185 ,6926 ,4403 ,720 ,7 ,30840 ,30840 ,1467 ,2888 ,2615 ,2342 ,4280 ,6003 ,6492 ,3280 ,1341 ,132 ,0 ,29363 ,29363 ,1328 ,2635 ,1740 ,1994 ,3832 ,4838 ,5693 ,3646 ,3062 ,588 ,7 ,,,,
경상남도 경상남도 창녕군 (4874000000),57083 ,57083 ,2224 ,3771 ,3452 ,3932 ,6209 ,9943 ,13234 ,8098 ,5366 ,841 ,13 ,28528 ,28528 ,1139 ,1985 ,2058 ,2241 ,3425 ,5410 ,6724 ,3751 ,1647 ,147 ,1 ,28555 ,28555 ,1085 ,1786 ,1394 ,1691 ,2784 ,4533 ,6510 ,4347 ,3719 ,694 ,12 ,,,,
경상남도 경상남도 고성군 (4882000000),49468 ,49468 ,1733 ,3935 ,3268 ,2950 ,5657 ,8766 ,10786 ,7033 ,4519 ,812 ,9 ,24970 ,24970 ,872 ,2164 ,1942 ,1628 ,3098 ,4848 ,5519 ,3302 ,1450 ,147 ,0 ,24498 ,24498 ,861 ,1771 ,1326 ,1322 ,2559 ,3918 ,5267 ,3731 ,3069 ,665 ,9 ,,,,
경상남도 경상남도 남해군 (4884000000),40780 ,40780 ,1326 ,2587 ,2592 ,2156 ,3901 ,6689 ,8944 ,6588 ,4923 ,1052 ,22 ,19859 ,19859 ,701 ,1432 ,1616 ,1161 ,2049 ,3655 ,4506 ,3030 ,1511 ,197 ,1 ,20921 ,20921 ,625 ,1155 ,976 ,995 ,1852 ,3034 ,4438 ,3558 ,3412 ,855 ,21 ,,,,
경상남도 경상남도 하동군 (4885000000),41606 ,41606 ,1355 ,2397 ,2490 ,2257 ,3860 ,7554 ,9884 ,6319 ,4609 ,865 ,16 ,20825 ,20825 ,693 ,1298 ,1483 ,1231 ,2132 ,4164 ,5228 ,2945 ,1482 ,168 ,1 ,20781 ,20781 ,662 ,1099 ,1007 ,1026 ,1728 ,3390 ,4656 ,3374 ,3127 ,697 ,15 ,,,,
경상남도 경상남도 산청군 (4886000000),33752 ,33752 ,965 ,1895 ,1980 ,1749 ,2952 ,6079 ,8234 ,5260 ,3950 ,671 ,17 ,16758 ,16758 ,498 ,1031 ,1151 ,966 ,1597 ,3339 ,4330 ,2520 ,1216 ,108 ,2 ,16994 ,16994 ,467 ,864 ,829 ,783 ,1355 ,2740 ,3904 ,2740 ,2734 ,563 ,15 ,,,,
경상남도 경상남도 함양군 (4887000000),36945 ,36945 ,1376 ,2686 ,2413 ,2156 ,3666 ,6467 ,8064 ,5278 ,4122 ,699 ,18 ,17922 ,17922 ,692 ,1418 ,1371 ,1136 ,1917 ,3491 ,4138 ,2362 ,1266 ,127 ,4 ,19023 ,19023 ,684 ,1268 ,1042 ,1020 ,1749 ,2976 ,3926 ,2916 ,2856 ,572 ,14 ,,,,
경상남도 경상남도 거창군 (4888000000),60047 ,60047 ,2984 ,5660 ,5098 ,4442 ,7015 ,10191 ,11386 ,7093 ,5224 ,930 ,24 ,29555 ,29555 ,1548 ,3093 ,2995 ,2358 ,3556 ,5295 ,5728 ,3134 ,1642 ,204 ,2 ,30492 ,30492 ,1436 ,2567 ,2103 ,2084 ,3459 ,4896 ,5658 ,3959 ,3582 ,726 ,22 ,,,,
경상남도 경상남도 합천군 (4889000000),41203 ,41203 ,1163 ,2155 ,2328 ,2071 ,3554 ,6843 ,9856 ,6818 ,5503 ,880 ,32 ,20132 ,20132 ,611 ,1133 ,1354 ,1174 ,1989 ,3844 ,5143 ,3077 ,1643 ,160 ,4 ,21071 ,21071 ,552 ,1022 ,974 ,897 ,1565 ,2999 ,4713 ,3741 ,3860 ,720 ,28 ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
