행정구역,2023년12월_계_총인구수,2023년12월_계_연령구간인구수,2023년12월_계_0~9세,2023년12월_계_10~19세,2023년12월_계_20~29세,2023년12월_계_30~39세,2023년12월_계_40~49세,2023년12월_계_50~59세,2023년12월_계_60~69세,2023년12월_계_70~79세,2023년12월_계_80~89세,2023년12월_계_90~99세,2023년12월_계_100세 이상,2023년12월_남_총인구수,2023년12월_남_연령구간인구수,2023년12월_남_0~9세,2023년12월_남_10~19세,2023년12월_남_20~29세,2023년12월_남_30~39세,2023년12월_남_40~49세,2023년12월_남_50~59세,2023년12월_남_60~69세,2023년12월_남_70~79세,2023년12월_남_80~89세,2023년12월_남_90~99세,2023년12월_남_100세 이상,2023년12월_여_총인구수,2023년12월_여_연령구간인구수,2023년12월_여_0~9세,2023년12월_여_10~19세,2023년12월_여_20~29세,2023년12월_여_30~39세,2023년12월_여_40~49세,2023년12월_여_50~59세,2023년12월_여_60~69세,2023년12월_여_70~79세,2023년12월_여_80~89세,2023년12월_여_90~99세,2023년12월_여_100세 이상,,,,,,,,,
경기도 경기도 안양시 만안구 (4117100000),230664 ,230664 ,13243 ,16611 ,29339 ,32527 ,32303 ,40752 ,38331 ,18024 ,8297 ,1210 ,27 ,115122 ,115122 ,6628 ,8645 ,15276 ,17209 ,16851 ,19937 ,18711 ,8485 ,3098 ,282 ,0 ,115542 ,115542 ,6615 ,7966 ,14063 ,15318 ,15452 ,20815 ,19620 ,9539 ,5199 ,928 ,27 ,,,,,,,,,
경기도 경기도 안양시 동안구 (4117300000),313996 ,313996 ,22169 ,31860 ,38808 ,45921 ,50525 ,54285 ,43127 ,17574 ,8244 ,1454 ,29 ,153789 ,153789 ,11373 ,16390 ,20008 ,23286 ,24411 ,26033 ,20775 ,8208 ,2966 ,331 ,8 ,160207 ,160207 ,10796 ,15470 ,18800 ,22635 ,26114 ,28252 ,22352 ,9366 ,5278 ,1123 ,21 ,,,,,,,,,
경기도 경기도 부천시 (4119000000),779968 ,779968 ,45444 ,64437 ,98528 ,106793 ,118285 ,139754 ,127004 ,52652 ,23371 ,3592 ,108 ,385531 ,385531 ,23294 ,32975 ,50546 ,55192 ,59950 ,67807 ,61797 ,24871 ,8294 ,791 ,14 ,394437 ,394437 ,22150 ,31462 ,47982 ,51601 ,58335 ,71947 ,65207 ,27781 ,15077 ,2801 ,94 ,,,,,,,,,
경기도 경기도 광명시 (4121000000),280197 ,280197 ,18632 ,28172 ,33150 ,36706 ,46273 ,48513 ,40077 ,18794 ,8598 ,1237 ,45 ,137512 ,137512 ,9484 ,14390 ,17107 ,18821 ,22679 ,24012 ,19093 ,8592 ,3056 ,268 ,10 ,142685 ,142685 ,9148 ,13782 ,16043 ,17885 ,23594 ,24501 ,20984 ,10202 ,5542 ,969 ,35 ,,,,,,,,,
경기도 경기도 평택시 (4122000000),591022 ,591022 ,48443 ,56196 ,76968 ,92619 ,100863 ,98139 ,68170 ,30700 ,16572 ,2291 ,61 ,310473 ,310473 ,24598 ,28704 ,43373 ,52172 ,54583 ,51792 ,34848 ,13834 ,5999 ,557 ,13 ,280549 ,280549 ,23845 ,27492 ,33595 ,40447 ,46280 ,46347 ,33322 ,16866 ,10573 ,1734 ,48 ,,,,,,,,,
경기도 경기도 동두천시 (4125000000),88626 ,88626 ,4521 ,7788 ,9650 ,8855 ,12232 ,16052 ,14931 ,8610 ,5277 ,693 ,17 ,44198 ,44198 ,2358 ,3900 ,5206 ,4724 ,6283 ,8420 ,7506 ,3691 ,1928 ,180 ,2 ,44428 ,44428 ,2163 ,3888 ,4444 ,4131 ,5949 ,7632 ,7425 ,4919 ,3349 ,513 ,15 ,,,,,,,,,
경기도 경기도 안산시 (4127000000),629308 ,629308 ,35228 ,56041 ,93690 ,82516 ,94048 ,125407 ,90169 ,32683 ,16780 ,2663 ,83 ,322328 ,322328 ,17982 ,28807 ,49863 ,45216 ,49006 ,62833 ,47124 ,15206 ,5702 ,572 ,17 ,306980 ,306980 ,17246 ,27234 ,43827 ,37300 ,45042 ,62574 ,43045 ,17477 ,11078 ,2091 ,66 ,,,,,,,,,
경기도 경기도 안산시 상록구 (4127100000),334867 ,334867 ,17826 ,30111 ,50843 ,41705 ,49602 ,67794 ,47802 ,17889 ,9718 ,1521 ,56 ,170723 ,170723 ,9128 ,15383 ,27004 ,22863 ,25645 ,33888 ,24986 ,8170 ,3289 ,356 ,11 ,164144 ,164144 ,8698 ,14728 ,23839 ,18842 ,23957 ,33906 ,22816 ,9719 ,6429 ,1165 ,45 ,,,,,,,,,
경기도 경기도 안산시 단원구 (4127300000),294441 ,294441 ,17402 ,25930 ,42847 ,40811 ,44446 ,57613 ,42367 ,14794 ,7062 ,1142 ,27 ,151605 ,151605 ,8854 ,13424 ,22859 ,22353 ,23361 ,28945 ,22138 ,7036 ,2413 ,216 ,6 ,142836 ,142836 ,8548 ,12506 ,19988 ,18458 ,21085 ,28668 ,20229 ,7758 ,4649 ,926 ,21 ,,,,,,,,,
경기도 경기도 고양시 (4128000000),1074907 ,1074907 ,70336 ,98947 ,134406 ,143591 ,168583 ,198739 ,149416 ,65239 ,39350 ,6149 ,151 ,524368 ,524368 ,35825 ,50342 ,68108 ,71752 ,82387 ,96316 ,74764 ,28942 ,14258 ,1633 ,41 ,550539 ,550539 ,34511 ,48605 ,66298 ,71839 ,86196 ,102423 ,74652 ,36297 ,25092 ,4516 ,110 ,,,,,,,,,
