행정구역,2023년12월_계_총인구수,2023년12월_계_연령구간인구수,2023년12월_계_0~9세,2023년12월_계_10~19세,2023년12월_계_20~29세,2023년12월_계_30~39세,2023년12월_계_40~49세,2023년12월_계_50~59세,2023년12월_계_60~69세,2023년12월_계_70~79세,2023년12월_계_80~89세,2023년12월_계_90~99세,2023년12월_계_100세 이상,2023년12월_남_총인구수,2023년12월_남_연령구간인구수,2023년12월_남_0~9세,2023년12월_남_10~19세,2023년12월_남_20~29세,2023년12월_남_30~39세,2023년12월_남_40~49세,2023년12월_남_50~59세,2023년12월_남_60~69세,2023년12월_남_70~79세,2023년12월_남_80~89세,2023년12월_남_90~99세,2023년12월_남_100세 이상,2023년12월_여_총인구수,2023년12월_여_연령구간인구수,2023년12월_여_0~9세,2023년12월_여_10~19세,2023년12월_여_20~29세,2023년12월_여_30~39세,2023년12월_여_40~49세,2023년12월_여_50~59세,2023년12월_여_60~69세,2023년12월_여_70~79세,2023년12월_여_80~89세,2023년12월_여_90~99세,2023년12월_여_100세 이상,,,,
전라남도 전라남도 장흥군 (4680000000),35046 ,35046 ,1481 ,2439 ,2492 ,2270 ,3535 ,5881 ,7044 ,5065 ,4102 ,719 ,18 ,17121 ,17121 ,736 ,1275 ,1424 ,1192 ,1981 ,3236 ,3570 ,2290 ,1279 ,133 ,5 ,17925 ,17925 ,745 ,1164 ,1068 ,1078 ,1554 ,2645 ,3474 ,2775 ,2823 ,586 ,13 ,,,,
전라남도 전라남도 강진군 (4681000000),32722 ,32722 ,1380 ,2256 ,2360 ,2133 ,3236 ,5265 ,6750 ,4907 ,3771 ,652 ,12 ,15949 ,15949 ,680 ,1176 ,1339 ,1110 ,1736 ,2905 ,3460 ,2210 ,1216 ,115 ,2 ,16773 ,16773 ,700 ,1080 ,1021 ,1023 ,1500 ,2360 ,3290 ,2697 ,2555 ,537 ,10 ,,,,
전라남도 전라남도 해남군 (4682000000),64575 ,64575 ,2940 ,4712 ,4767 ,4088 ,6934 ,10909 ,13133 ,9431 ,6663 ,970 ,28 ,32249 ,32249 ,1520 ,2391 ,2766 ,2211 ,3788 ,6166 ,6788 ,4285 ,2158 ,175 ,1 ,32326 ,32326 ,1420 ,2321 ,2001 ,1877 ,3146 ,4743 ,6345 ,5146 ,4505 ,795 ,27 ,,,,
전라남도 전라남도 영암군 (4683000000),52350 ,52350 ,2597 ,4090 ,4726 ,3976 ,6978 ,9506 ,9425 ,6029 ,4323 ,680 ,20 ,27372 ,27372 ,1349 ,2120 ,2829 ,2121 ,4135 ,5513 ,5069 ,2733 ,1349 ,151 ,3 ,24978 ,24978 ,1248 ,1970 ,1897 ,1855 ,2843 ,3993 ,4356 ,3296 ,2974 ,529 ,17 ,,,,
전라남도 전라남도 무안군 (4684000000),90296 ,90296 ,7105 ,10066 ,9201 ,10118 ,14446 ,13625 ,12362 ,7893 ,4769 ,690 ,21 ,45431 ,45431 ,3674 ,5089 ,4966 ,5094 ,7521 ,7429 ,6326 ,3707 ,1501 ,124 ,0 ,44865 ,44865 ,3431 ,4977 ,4235 ,5024 ,6925 ,6196 ,6036 ,4186 ,3268 ,566 ,21 ,,,,
전라남도 전라남도 함평군 (4686000000),30601 ,30601 ,984 ,1853 ,2096 ,1786 ,2954 ,5229 ,6532 ,4703 ,3835 ,610 ,19 ,15505 ,15505 ,496 ,995 ,1222 ,968 ,1732 ,3113 ,3543 ,2092 ,1219 ,124 ,1 ,15096 ,15096 ,488 ,858 ,874 ,818 ,1222 ,2116 ,2989 ,2611 ,2616 ,486 ,18 ,,,,
전라남도 전라남도 영광군 (4687000000),51750 ,51750 ,3402 ,3912 ,4452 ,4505 ,6064 ,8338 ,9147 ,6692 ,4636 ,574 ,28 ,25874 ,25874 ,1690 ,2019 ,2498 ,2303 ,3371 ,4663 ,4778 ,2956 ,1477 ,114 ,5 ,25876 ,25876 ,1712 ,1893 ,1954 ,2202 ,2693 ,3675 ,4369 ,3736 ,3159 ,460 ,23 ,,,,
전라남도 전라남도 장성군 (4688000000),42543 ,42543 ,1980 ,3002 ,3611 ,3145 ,4808 ,7387 ,8222 ,5622 ,4171 ,574 ,21 ,21892 ,21892 ,1008 ,1540 ,2162 ,1727 ,2656 ,4227 ,4450 ,2639 ,1342 ,136 ,5 ,20651 ,20651 ,972 ,1462 ,1449 ,1418 ,2152 ,3160 ,3772 ,2983 ,2829 ,438 ,16 ,,,,
전라남도 전라남도 완도군 (4689000000),46641 ,46641 ,2417 ,3352 ,3128 ,3087 ,5542 ,7460 ,9181 ,6870 ,4868 ,718 ,18 ,23545 ,23545 ,1268 ,1752 ,1833 ,1677 ,3211 ,4270 ,4648 ,3143 ,1602 ,140 ,1 ,23096 ,23096 ,1149 ,1600 ,1295 ,1410 ,2331 ,3190 ,4533 ,3727 ,3266 ,578 ,17 ,,,,
전라남도 전라남도 진도군 (4690000000),28979 ,28979 ,1295 ,1993 ,2184 ,1893 ,3127 ,4799 ,5716 ,4272 ,3229 ,457 ,14 ,14453 ,14453 ,617 ,1022 ,1272 ,1008 ,1827 ,2765 ,2962 ,1950 ,957 ,71 ,2 ,14526 ,14526 ,678 ,971 ,912 ,885 ,1300 ,2034 ,2754 ,2322 ,2272 ,386 ,12 ,,,,
전라남도 전라남도 신안군 (4691000000),38037 ,38037 ,1304 ,1935 ,2386 ,2287 ,3941 ,6745 ,8517 ,5990 ,4312 ,602 ,18 ,20514 ,20514 ,683 ,988 ,1450 ,1411 ,2649 ,4167 ,4819 ,2862 ,1378 ,103 ,4 ,17523 ,17523 ,621 ,947 ,936 ,876 ,1292 ,2578 ,3698 ,3128 ,2934 ,499 ,14 ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
