"행정구역별",2023.1/2,2023.1/2,2023.1/2,2023.1/2,2023.1/2,2023.1/2,2023.1/2,2023.1/2,2023.1/2,2023.1/2,2023.1/2
"행정구역별",15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),실업자(RSE),비경제활동인구 (천명),경제활동참가율 (％),고용률 (%),15~64세 고용률 (%),실업률 (％),실업률(RSE)
"광명시",245,154,148,6,-,91,63.0,60.5,66.8,3.9,-
"평택시",514,339,331,8,-,176,65.9,64.3,69.6,2.4,-
"동두천시",82,48,47,2,-,34,58.4,56.5,65.5,3.1,-
"안산시",618,399,385,14,-,219,64.6,62.3,67.6,3.5,-
"고양시",920,565,548,17,-,354,61.5,59.6,66.6,3.1,-
"과천시",63,39,38,1,-,24,61.8,60.2,67.4,2.6,-
"구리시",162,103,100,3,-,60,63.3,61.6,68.1,2.7,-
"남양주시",620,387,378,8,-,233,62.4,61.0,68.6,2.2,-
"오산시",205,139,135,5,-,66,68.0,65.8,70.9,3.2,-
"시흥시",476,310,300,10,-,166,65.2,63.1,67.8,3.2,-
"군포시",235,145,141,4,-,90,61.6,60.0,66.4,2.6,-
"의왕시",138,84,82,2,*,54,61.1,59.9,66.6,2.0,*
"하남시",277,175,172,3,*,102,63.3,62.1,69.2,1.9,*
"용인시",930,566,551,15,-,364,60.9,59.2,66.3,2.6,-
"파주시",421,267,262,5,-,154,63.5,62.2,69.3,2.0,-
"이천시",199,132,128,4,-,67,66.3,64.4,69.9,2.8,-
"안성시",185,121,118,3,-,63,65.7,64.1,70.6,2.4,-
"김포시",415,270,265,5,-,145,65.0,63.9,69.9,1.8,-
"화성시",797,553,537,15,-,244,69.3,67.4,71.3,2.8,-
"광주시",344,228,222,7,-,116,66.4,64.5,71.8,2.9,-
"양주시",216,132,129,3,-,84,61.0,59.5,66.7,2.4,-
"포천시",139,90,88,2,-,49,64.6,63.1,70.7,2.3,-
"여주시",102,65,64,1,*,37,63.5,62.9,71.3,1.0,*
"연천군",34,20,20,0,*,14,58.7,58.2,67.0,0.8,*
"가평군",53,33,32,0,*,20,61.7,61.0,68.9,1.1,*
"양평군",106,62,60,1,*,44,58.3,57.1,66.7,2.1,*
"춘천시",255,159,156,3,-,96,62.3,60.9,67.5,2.1,-
"원주시",316,199,193,6,-,117,62.9,61.0,66.9,3.0,-
"강릉시",192,120,118,2,-,72,62.5,61.4,67.5,1.8,-
"동해시",74,46,45,0,*,28,61.7,61.4,67.2,0.4,*
"태백시",35,23,23,0,*,12,65.9,65.2,71.3,1.0,*
"속초시",68,43,42,1,-,26,62.6,61.5,68.6,1.9,-
"삼척시",58,37,36,1,*,21,63.6,62.6,66.1,1.5,*
"홍천군",56,41,40,1,*,16,72.2,71.3,76.1,1.2,*
"횡성군",40,27,27,1,*,13,67.7,66.5,71.4,1.8,*
"영월군",32,23,23,0,*,9,71.9,71.4,78.4,0.7,*
"평창군",35,26,26,0,*,10,72.4,72.2,77.9,0.2,*
"정선군",30,22,22,0,*,8,72.8,72.6,77.7,0.2,*
"철원군",31,21,21,0,*,10,66.6,66.3,69.1,0.6,*
"화천군",16,12,12,0,*,4,74.0,73.6,74.4,0.5,*
"양구군",15,11,11,0,*,4,71.6,71.2,74.5,0.6,*
"인제군",23,17,16,0,*,6,72.9,72.2,75.3,1.0,*
"고성군",25,18,18,0,*,7,71.5,69.9,72.5,2.1,*
"양양군",24,17,17,0,*,7,70.2,69.4,74.8,1.2,*
"청주시",748,496,482,14,-,252,66.3,64.5,70.4,2.8,-
"충주시",190,123,121,2,*,67,64.8,64.0,69.9,1.2,*
"제천시",120,79,77,1,*,41,65.6,64.5,70.2,1.7,-
"보은군",28,19,19,0,*,8,69.8,69.6,76.8,0.3,*
"옥천군",44,30,29,1,-,14,68.2,67.1,75.7,1.7,-
"영동군",41,28,28,0,*,13,68.6,68.1,73.3,0.7,*
"진천군",81,59,57,2,-,22,72.7,70.5,75.0,3.0,-
"괴산군",35,23,23,1,*,12,66.7,65.4,70.2,1.9,*
"음성군",92,68,66,2,-,24,73.6,71.9,78.5,2.4,-
"단양군",24,17,16,0,*,8,68.8,67.5,76.3,1.8,*
"증평군",32,22,21,1,-,10,69.3,66.5,72.3,3.9,-
"천안시",599,386,376,10,-,213,64.5,62.8,67.5,2.7,-
"공주시",97,61,59,2,-,36,62.6,60.6,65.5,3.2,-
"보령시",86,56,55,1,*,31,64.5,63.9,73.1,1.0,*
"아산시",314,208,203,5,-,106,66.3,64.6,69.1,2.5,-
"서산시",153,108,105,2,-,45,70.6,69.0,73.1,2.2,-
"논산시",102,68,67,2,-,34,66.8,65.1,71.4,2.5,-
"계룡시",32,19,18,0,-,13,59.2,57.9,62.3,2.2,-
"당진시",148,106,105,2,*,41,72.0,71.0,73.9,1.5,*
"금산군",49,33,33,0,*,16,67.0,66.5,70.4,0.8,*
"부여군",56,36,36,0,*,20,64.4,63.8,72.8,0.9,*
"서천군",45,29,29,0,*,16,64.9,64.4,70.9,0.6,*
"청양군",28,21,20,0,*,7,73.9,73.3,79.7,0.9,*
"홍성군",88,61,60,1,*,27,69.5,67.9,71.4,2.3,*
"예산군",71,51,50,1,-,20,71.9,70.2,76.1,2.4,-
"태안군",54,40,39,0,*,15,73.1,72.5,75.9,0.8,*
"전주시",574,348,336,12,-,226,60.6,58.6,64.3,3.3,-
"군산시",232,135,133,2,*,97,58.1,57.4,62.0,1.3,*
"익산시",245,150,147,4,-,95,61.4,59.8,64.6,2.6,-
"정읍시",91,61,60,1,*,30,66.7,65.7,70.6,1.5,*
"남원시",66,44,44,1,*,22,67.0,65.8,70.3,1.7,*
"김제시",71,49,47,2,*,23,68.4,66.4,70.4,3.0,-
"완주군",87,59,57,2,-,28,67.7,66.0,68.6,2.5,-
"진안군",20,15,15,0,*,5,74.1,73.8,79.5,0.4,*
"무주군",20,15,15,0,*,5,75.3,74.2,77.4,1.4,*
"장수군",18,14,14,0,*,4,78.2,77.8,76.3,0.5,*
"임실군",22,15,15,0,*,7,69.9,68.8,76.6,1.6,*
"순창군",22,16,16,0,*,6,72.0,70.3,72.0,2.4,*
"고창군",45,32,32,0,*,13,70.6,70.4,77.8,0.2,*
"부안군",42,31,30,0,*,11,72.9,72.4,78.0,0.7,*
"목포시",190,118,114,3,-,73,61.9,60.2,66.9,2.7,-
"여수시",229,145,143,2,*,85,63.2,62.5,68.7,1.1,*
"순천시",230,149,147,2,-,82,64.6,63.6,69.4,1.5,*
"나주시",99,66,65,1,*,33,66.4,65.2,68.2,1.8,*
"광양시",124,85,84,1,-,39,68.6,67.6,70.9,1.5,-
"담양군",38,26,25,0,*,13,66.9,66.4,69.1,0.7,*
"곡성군",24,17,17,0,*,7,70.4,70.3,71.2,0.2,*
"구례군",20,14,14,0,*,6,72.4,72.2,79.4,0.2,*
"고흥군",52,38,38,0,*,14,73.2,72.6,76.5,0.8,*
"보성군",31,23,23,0,*,8,74.1,73.5,77.5,0.9,*
"화순군",52,35,34,0,*,18,66.1,65.3,66.2,1.3,*
"장흥군",29,21,21,0,*,8,72.8,72.7,80.8,0.2,*
"강진군",27,18,18,0,*,9,66.9,66.4,75.3,0.7,*
"해남군",53,40,40,0,*,13,75.4,74.7,81.3,0.9,*
"영암군",52,37,37,1,*,14,72.3,71.4,75.4,1.3,*
"무안군",78,51,50,1,*,27,65.0,64.4,66.2,1.0,*
"함평군",26,19,19,0,*,7,72.6,72.3,78.7,0.4,*
"영광군",42,29,28,0,*,13,68.5,68.3,75.6,0.3,*
"장성군",34,23,22,0,*,11,66.9,66.2,71.0,1.0,*
"완도군",40,28,28,0,*,12,69.7,69.6,79.2,0.2,*
"진도군",25,19,19,0,*,6,77.8,77.8,81.5,0.1,*
"신안군",29,23,23,0,*,6,79.0,78.6,85.9,0.5,*
"포항시",429,260,253,6,-,170,60.5,59.0,66.0,2.5,-
"경주시",230,141,139,3,-,88,61.5,60.4,67.6,1.8,-
"김천시",123,83,80,2,-,41,67.1,65.3,70.1,2.7,-
"안동시",139,88,86,2,*,51,63.2,61.9,67.7,2.0,*
"구미시",352,225,215,11,-,127,63.9,60.9,64.2,4.6,-
"영주시",92,58,56,2,-,34,63.2,61.4,67.5,2.8,-
"영천시",90,62,61,1,*,28,68.6,67.6,71.8,1.4,*
"상주시",85,57,56,1,*,28,66.8,66.3,71.8,0.9,*
"문경시",60,40,39,1,-,21,65.6,64.1,72.7,2.3,-
"경산시",264,159,153,5,-,106,60.0,58.1,62.5,3.3,-
"군위군",20,16,15,0,*,5,77.1,76.6,83.3,0.7,*
"의성군",44,33,32,0,*,12,73.6,73.5,80.5,0.2,*
"청송군",21,18,17,0,*,4,82.2,82.1,85.2,0.2,*
"영양군",14,11,11,0,*,3,76.3,76.1,80.4,0.3,*
"영덕군",30,20,20,0,*,10,65.8,65.2,74.9,0.9,*
"청도군",38,28,28,0,*,10,74.7,74.2,78.6,0.7,*
"고령군",27,18,18,0,*,9,66.4,65.7,74.2,1.1,*
"성주군",37,25,25,0,*,11,68.9,68.0,77.1,1.2,*
"칠곡군",99,65,63,1,*,35,65.2,63.8,67.9,2.2,*
"예천군",47,31,31,0,*,16,66.7,66.0,74.3,1.1,*
"봉화군",26,20,20,0,*,6,75.4,75.0,81.0,0.5,*
"울진군",41,27,26,1,*,14,65.0,63.7,71.6,1.9,*
"울릉군",7,6,6,0,*,1,82.1,81.8,84.8,0.4,*
"진주시",309,200,193,7,-,109,64.8,62.5,67.1,3.5,-
"통영시",105,65,62,3,-,41,61.4,58.8,65.6,4.2,-
"사천시",94,64,62,2,-,30,67.7,66.0,71.1,2.6,-
"김해시",467,290,285,6,-,177,62.1,60.9,66.2,2.0,-
"밀양시",92,56,55,1,*,36,60.7,59.9,67.3,1.3,*
"거제시",199,130,125,6,-,69,65.5,62.7,67.0,4.3,-
"양산시",305,185,180,6,-,119,60.8,59.0,65.3,3.0,-
