,진료년도,상별구분,시도,시군구,성별,0~19,20~59,60~
86,2018,우울증,인천,인천부평구,남,188.0,2235.0,1230.0
87,2018,우울증,인천,인천부평구,여,315.0,3930.0,3210.0
88,2018,우울증,인천,인천중구,남,132.0,788.0,538.0
89,2018,우울증,인천,인천중구,여,147.0,1241.0,1440.0
90,2018,우울증,인천,인천서구,남,182.0,1605.0,695.0
91,2018,우울증,인천,인천서구,여,343.0,2992.0,1527.0
92,2018,우울증,인천,인천남동구,남,172.0,1753.0,763.0
93,2018,우울증,인천,인천남동구,여,334.0,3445.0,2019.0
94,2018,우울증,인천,인천연수구,남,192.0,851.0,186.0
95,2018,우울증,인천,인천연수구,여,304.0,1634.0,504.0
96,2018,우울증,인천,인천계양구,남,231.0,932.0,357.0
97,2018,우울증,인천,인천계양구,여,213.0,1714.0,896.0
98,2018,우울증,인천,인천강화군,남,0.0,24.0,73.0
99,2018,우울증,인천,인천강화군,여,0.0,49.0,154.0
100,2018,우울증,인천,인천옹진군,남,0.0,0.0,0.0
101,2018,우울증,인천,인천옹진군,여,0.0,0.0,0.0
102,2018,우울증,대구,대구남구,남,93.0,621.0,485.0
103,2018,우울증,대구,대구남구,여,177.0,1109.0,1218.0
104,2018,우울증,대구,대구동구,남,73.0,1418.0,680.0
105,2018,우울증,대구,대구동구,여,137.0,1760.0,1745.0
106,2018,우울증,대구,대구북구,남,115.0,1034.0,542.0
107,2018,우울증,대구,대구북구,여,203.0,2018.0,1277.0
108,2018,우울증,대구,대구서구,남,21.0,492.0,428.0
109,2018,우울증,대구,대구서구,여,67.0,976.0,890.0
110,2018,우울증,대구,대구수성구,남,298.0,1844.0,801.0
111,2018,우울증,대구,대구수성구,여,584.0,3818.0,2221.0
112,2018,우울증,대구,대구중구,남,205.0,1097.0,708.0
113,2018,우울증,대구,대구중구,여,260.0,2038.0,1736.0
114,2018,우울증,대구,대구달서구,남,219.0,2052.0,1423.0
115,2018,우울증,대구,대구달서구,여,361.0,3547.0,2783.0
116,2018,우울증,대구,대구달성군,남,24.0,253.0,137.0
117,2018,우울증,대구,대구달성군,여,46.0,487.0,252.0
118,2018,우울증,광주,광주동구,남,119.0,806.0,669.0
119,2018,우울증,광주,광주동구,여,175.0,1345.0,1632.0
120,2018,우울증,광주,광주북구,남,121.0,1291.0,852.0
121,2018,우울증,광주,광주북구,여,255.0,2169.0,2101.0
122,2018,우울증,광주,광주서구,남,49.0,566.0,330.0
123,2018,우울증,광주,광주서구,여,109.0,1275.0,844.0
124,2018,우울증,광주,광주광산구,남,116.0,1110.0,982.0
125,2018,우울증,광주,광주광산구,여,190.0,1687.0,1782.0
126,2018,우울증,광주,광주남구,남,59.0,545.0,431.0
127,2018,우울증,광주,광주남구,여,81.0,982.0,990.0
128,2018,우울증,대전,대전유성구,남,66.0,929.0,244.0
129,2018,우울증,대전,대전유성구,여,132.0,1576.0,605.0
130,2018,우울증,대전,대전대덕구,남,34.0,453.0,556.0
131,2018,우울증,대전,대전대덕구,여,65.0,773.0,802.0
132,2018,우울증,대전,대전서구,남,348.0,2400.0,897.0
133,2018,우울증,대전,대전서구,여,603.0,4578.0,2117.0
134,2018,우울증,대전,대전동구,남,54.0,522.0,394.0
135,2018,우울증,대전,대전동구,여,70.0,1131.0,946.0
136,2018,우울증,대전,대전중구,남,120.0,1291.0,1183.0
137,2018,우울증,대전,대전중구,여,187.0,2267.0,2762.0
138,2018,우울증,울산,울산남구,남,198.0,1929.0,972.0
139,2018,우울증,울산,울산남구,여,389.0,3332.0,2052.0
140,2018,우울증,울산,울산동구,남,29.0,270.0,208.0
141,2018,우울증,울산,울산동구,여,59.0,489.0,487.0
142,2018,우울증,울산,울산중구,남,52.0,444.0,315.0
143,2018,우울증,울산,울산중구,여,92.0,861.0,824.0
144,2018,우울증,울산,울산북구,남,0.0,111.0,37.0
145,2018,우울증,울산,울산북구,여,13.0,246.0,126.0
146,2018,우울증,울산,울산울주군,남,0.0,195.0,163.0
147,2018,우울증,울산,울산울주군,여,12.0,284.0,317.0
148,2018,우울증,경기,가평군,남,0.0,77.0,122.0
149,2018,우울증,경기,가평군,여,0.0,140.0,162.0
150,2018,우울증,경기,양평군,남,0.0,130.0,152.0
151,2018,우울증,경기,양평군,여,15.0,195.0,272.0
152,2018,우울증,경기,연천군,남,0.0,36.0,93.0
153,2018,우울증,경기,연천군,여,0.0,58.0,190.0
154,2018,우울증,경기,광명시,남,77.0,770.0,359.0
155,2018,우울증,경기,광명시,여,126.0,1450.0,880.0
156,2018,우울증,경기,동두천시,남,42.0,256.0,198.0
157,2018,우울증,경기,동두천시,여,88.0,543.0,483.0
158,2018,우울증,경기,부천시,남,353.0,2823.0,1314.0
159,2018,우울증,경기,부천시,여,609.0,5616.0,3266.0
160,2018,우울증,경기,성남수정구,남,62.0,757.0,363.0
161,2018,우울증,경기,성남수정구,여,117.0,1595.0,909.0
162,2018,우울증,경기,성남중원구,남,33.0,578.0,324.0
163,2018,우울증,경기,성남중원구,여,105.0,1071.0,738.0
164,2018,우울증,경기,성남분당구,남,625.0,4027.0,1943.0
165,2018,우울증,경기,성남분당구,여,755.0,7747.0,5087.0
166,2018,우울증,경기,수원권선구,남,34.0,537.0,176.0
167,2018,우울증,경기,수원권선구,여,74.0,929.0,364.0
168,2018,우울증,경기,수원장안구,남,117.0,656.0,322.0
169,2018,우울증,경기,수원장안구,여,220.0,1286.0,801.0
170,2018,우울증,경기,수원팔달구,남,207.0,1979.0,976.0
171,2018,우울증,경기,수원팔달구,여,296.0,3444.0,2743.0
172,2018,우울증,경기,수원영통구,남,133.0,1088.0,344.0
173,2018,우울증,경기,수원영통구,여,275.0,2261.0,1012.0
174,2018,우울증,경기,안양만안구,남,40.0,566.0,458.0
175,2018,우울증,경기,안양만안구,여,59.0,1201.0,1293.0
176,2018,우울증,경기,안양동안구,남,424.0,1776.0,627.0
177,2018,우울증,경기,안양동안구,여,722.0,3394.0,1702.0
178,2018,우울증,경기,의정부시,남,252.0,2021.0,1172.0
179,2018,우울증,경기,의정부시,여,363.0,3543.0,2704.0
180,2018,우울증,경기,과천시,남,0.0,0.0,0.0
181,2018,우울증,경기,과천시,여,0.0,12.0,55.0
182,2018,우울증,경기,구리시,남,54.0,591.0,437.0
183,2018,우울증,경기,구리시,여,172.0,1325.0,1052.0
184,2018,우울증,경기,안산단원구,남,240.0,1618.0,558.0
185,2018,우울증,경기,안산단원구,여,343.0,3020.0,1614.0
186,2018,우울증,경기,안산상록구,남,48.0,657.0,346.0
187,2018,우울증,경기,안산상록구,여,62.0,1188.0,598.0
188,2018,우울증,경기,평택시,남,137.0,1298.0,575.0
189,2018,우울증,경기,평택시,여,221.0,2348.0,1332.0
190,2018,우울증,경기,하남시,남,28.0,292.0,159.0
191,2018,우울증,경기,하남시,여,50.0,592.0,374.0
192,2018,우울증,경기,군포시,남,63.0,733.0,391.0
193,2018,우울증,경기,군포시,여,130.0,1324.0,901.0
194,2018,우울증,경기,남양주시,남,89.0,1132.0,602.0
195,2018,우울증,경기,남양주시,여,215.0,2345.0,1314.0
196,2018,우울증,경기,의왕시,남,0.0,130.0,129.0
197,2018,우울증,경기,의왕시,여,0.0,233.0,351.0
198,2018,우울증,경기,시흥시,남,64.0,777.0,340.0
199,2018,우울증,경기,시흥시,여,128.0,1551.0,906.0
200,2018,우울증,경기,오산시,남,58.0,665.0,205.0
201,2018,우울증,경기,오산시,여,106.0,1256.0,489.0
202,2018,우울증,경기,고양덕양구,남,95.0,770.0,395.0
203,2018,우울증,경기,고양덕양구,여,184.0,1393.0,923.0
204,2018,우울증,경기,고양일산서구,남,297.0,1264.0,707.0
205,2018,우울증,경기,고양일산서구,여,423.0,2612.0,1550.0
