행정구역,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,sum_60,sum_0_20,sum_20_60,oldAgePercent,childAgePercent,adultAgePercent
강원특별자치도  ,1527807,1527807,90872,129053,163610,158594,208819,262513,275323,141876,84135,12622,390,768449,768449,46463,66935,91639,84692,106310,135485,138020,65495,30543,2775,92,759358,759358,44409,62118,71971,73902,102509,127028,137303,76381,53592,9847,298,514346,219925,793536,33.66563970449147,14.394815575527536,51.93954471998099
춘천시 ,286426,286426,18917,26060,36972,34305,40807,46897,44359,21996,13913,2137,63,141419,141419,9659,13502,19722,17847,20109,23568,21557,9840,5065,527,23,145007,145007,9258,12558,17250,16458,20698,23329,22802,12156,8848,1610,40,82468,44977,158981,28.792078931381926,15.70283423990839,55.50508682870968
원주시 ,361503,361503,25618,34679,42306,45545,55623,62537,54711,23940,14305,2184,55,179115,179115,13104,17793,22492,23354,27502,31111,27149,10983,5122,494,11,182388,182388,12514,16886,19814,22191,28121,31426,27562,12957,9183,1690,44,95195,60297,206011,26.333114801260294,16.6795296304595,56.98735556828021
강릉시 ,209439,209439,11413,17380,22654,20358,29591,36506,37188,20886,11534,1869,60,103759,103759,5887,9145,12429,10889,14894,18645,17853,9391,4217,400,9,105680,105680,5526,8235,10225,9469,14697,17861,19335,11495,7317,1469,51,71537,28793,109109,34.156484704376936,13.747678321611541,52.09583697401152
동해시 ,88625,88625,5426,8266,8485,8244,13245,15922,15323,8542,4533,626,13,45045,45045,2776,4323,4982,4564,6835,8375,7437,3926,1705,120,2,43580,43580,2650,3943,3503,3680,6410,7547,7886,4616,2828,506,11,29037,13692,45896,32.7638928067701,15.449365303244006,51.7867418899859
태백시 ,38702,38702,1823,3385,3053,2844,5531,6860,7641,4877,2441,239,8,19476,19476,958,1757,1767,1534,2904,3690,3833,2116,875,40,2,19226,19226,865,1628,1286,1310,2627,3170,3808,2761,1566,199,6,15206,5208,18288,39.28995917523642,13.456668905999688,47.25337191876389
속초시 ,82054,82054,5063,6826,8130,8946,11671,14927,14827,7248,3797,609,10,40620,40620,2602,3468,4605,4939,5829,7339,7143,3196,1370,125,4,41434,41434,2461,3358,3525,4007,5842,7588,7684,4052,2427,484,6,26491,11889,43674,32.28483681478051,14.489238793964951,53.225924391254544
삼척시 ,62651,62651,3196,4806,6589,4898,7831,10760,12185,7202,4440,722,22,31822,31822,1626,2481,3745,2648,4206,5944,6190,3365,1461,155,1,30829,30829,1570,2325,2844,2250,3625,4816,5995,3837,2979,567,21,24571,8002,30078,39.21884726500774,12.77234202167563,48.00881071331663
홍천군 ,67309,67309,3193,4544,5752,5544,7349,11419,15943,7877,4897,768,23,34655,34655,1624,2304,3433,3084,3930,6065,8314,3945,1795,156,5,32654,32654,1569,2240,2319,2460,3419,5354,7629,3932,3102,612,18,29508,7737,30064,43.83960540195219,11.494748102036874,44.665646496010936
횡성군 ,46359,46359,1873,3349,3165,3007,4659,8140,11782,6090,3710,564,20,23826,23826,994,1767,1801,1645,2540,4325,6142,3093,1411,106,2,22533,22533,879,1582,1364,1362,2119,3815,5640,2997,2299,458,18,22166,5222,18971,47.81380098794193,11.264263681270089,40.92193533078798
영월군 ,37332,37332,1420,2576,2799,2368,4034,6788,8875,5008,3034,420,10,19318,19318,751,1447,1587,1291,2148,3736,4765,2407,1088,95,3,18014,18014,669,1129,1212,1077,1886,3052,4110,2601,1946,325,7,17347,3996,15989,46.466838101360764,10.703953712632593,42.829208186006646
평창군 ,40659,40659,1413,2623,3034,2690,4496,7609,10046,5322,2999,410,17,21056,21056,674,1401,1835,1485,2426,4096,5313,2582,1157,84,3,19603,19603,739,1222,1199,1205,2070,3513,4733,2740,1842,326,14,18794,4036,17829,46.22346835878895,9.92646154602917,43.850070095181884
정선군 ,34202,34202,1315,2239,2291,2316,4174,6336,8139,4449,2575,350,18,17844,17844,653,1144,1349,1304,2361,3606,4353,2065,929,74,6,16358,16358,662,1095,942,1012,1813,2730,3786,2384,1646,276,12,15531,3554,15117,45.40962516811882,10.39120519267879,44.19916963920238
철원군 ,41448,41448,2659,3283,4532,4259,4890,6617,7708,4369,2749,368,14,21478,21478,1343,1725,2881,2430,2575,3544,3947,1958,984,90,1,19970,19970,1316,1558,1651,1829,2315,3073,3761,2411,1765,278,13,15208,5942,20298,36.691758347809305,14.336035514379464,48.972206137811234
