행정구역,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,,,,,sum_60,sum_0_20,sum_20_60,oldAgePercent,childAgePercent,adultAgePercent
거제시 ,234038.0,234038.0,18932.0,28353.0,20126.0,26157.0,46089.0,43042.0,31511.0,13042.0,5804.0,960.0,22.0,122542.0,122542.0,9794.0,14739.0,11563.0,13545.0,24699.0,23592.0,16109.0,6385.0,1932.0,180.0,4.0,111496.0,111496.0,9138.0,13614.0,8563.0,12612.0,21390.0,19450.0,15402.0,6657.0,3872.0,780.0,18.0,,,,,51339.0,47285.0,135414.0,21.93618130389082,20.203983968415386,57.859834727693794
양산시 ,355122.0,355122.0,28534.0,35755.0,34950.0,44329.0,61629.0,61518.0,51255.0,24491.0,11226.0,1395.0,40.0,177596.0,177596.0,14684.0,18164.0,18772.0,22863.0,31472.0,30746.0,25342.0,11229.0,3996.0,320.0,8.0,177526.0,177526.0,13850.0,17591.0,16178.0,21466.0,30157.0,30772.0,25913.0,13262.0,7230.0,1075.0,32.0,,,,,88407.0,64289.0,202426.0,24.894824877084496,18.10335602975879,57.00181909315671
의령군 ,25475.0,25475.0,838.0,1348.0,1461.0,1500.0,2421.0,4289.0,6097.0,3815.0,3125.0,564.0,17.0,12668.0,12668.0,459.0,719.0,881.0,787.0,1365.0,2405.0,3294.0,1750.0,897.0,106.0,5.0,12807.0,12807.0,379.0,629.0,580.0,713.0,1056.0,1884.0,2803.0,2065.0,2228.0,458.0,12.0,,,,,13618.0,2186.0,9671.0,53.456329735034345,8.580961727183514,37.96270853778214
함안군 ,60203.0,60203.0,2795.0,5523.0,4355.0,4336.0,8112.0,10841.0,12185.0,6926.0,4403.0,720.0,7.0,30840.0,30840.0,1467.0,2888.0,2615.0,2342.0,4280.0,6003.0,6492.0,3280.0,1341.0,132.0,0.0,29363.0,29363.0,1328.0,2635.0,1740.0,1994.0,3832.0,4838.0,5693.0,3646.0,3062.0,588.0,7.0,,,,,24241.0,8318.0,27644.0,40.26543527731176,13.816587213261796,45.917977509426436
창녕군 ,57083.0,57083.0,2224.0,3771.0,3452.0,3932.0,6209.0,9943.0,13234.0,8098.0,5366.0,841.0,13.0,28528.0,28528.0,1139.0,1985.0,2058.0,2241.0,3425.0,5410.0,6724.0,3751.0,1647.0,147.0,1.0,28555.0,28555.0,1085.0,1786.0,1394.0,1691.0,2784.0,4533.0,6510.0,4347.0,3719.0,694.0,12.0,,,,,27552.0,5995.0,23536.0,48.26655922078377,10.502251108035669,41.231189671180566
고성군 ,49468.0,49468.0,1733.0,3935.0,3268.0,2950.0,5657.0,8766.0,10786.0,7033.0,4519.0,812.0,9.0,24970.0,24970.0,872.0,2164.0,1942.0,1628.0,3098.0,4848.0,5519.0,3302.0,1450.0,147.0,0.0,24498.0,24498.0,861.0,1771.0,1326.0,1322.0,2559.0,3918.0,5267.0,3731.0,3069.0,665.0,9.0,,,,,23159.0,5668.0,20641.0,46.81612355462117,11.457912185655374,41.725964259723455
남해군 ,40780.0,40780.0,1326.0,2587.0,2592.0,2156.0,3901.0,6689.0,8944.0,6588.0,4923.0,1052.0,22.0,19859.0,19859.0,701.0,1432.0,1616.0,1161.0,2049.0,3655.0,4506.0,3030.0,1511.0,197.0,1.0,20921.0,20921.0,625.0,1155.0,976.0,995.0,1852.0,3034.0,4438.0,3558.0,3412.0,855.0,21.0,,,,,21529.0,3913.0,15338.0,52.79303580186367,9.595389897008337,37.611574301128
하동군 ,41606.0,41606.0,1355.0,2397.0,2490.0,2257.0,3860.0,7554.0,9884.0,6319.0,4609.0,865.0,16.0,20825.0,20825.0,693.0,1298.0,1483.0,1231.0,2132.0,4164.0,5228.0,2945.0,1482.0,168.0,1.0,20781.0,20781.0,662.0,1099.0,1007.0,1026.0,1728.0,3390.0,4656.0,3374.0,3127.0,697.0,15.0,,,,,21693.0,3752.0,16161.0,52.13911455078595,9.017930106234678,38.84295534297938
산청군 ,33752.0,33752.0,965.0,1895.0,1980.0,1749.0,2952.0,6079.0,8234.0,5260.0,3950.0,671.0,17.0,16758.0,16758.0,498.0,1031.0,1151.0,966.0,1597.0,3339.0,4330.0,2520.0,1216.0,108.0,2.0,16994.0,16994.0,467.0,864.0,829.0,783.0,1355.0,2740.0,3904.0,2740.0,2734.0,563.0,15.0,,,,,18132.0,2860.0,12760.0,53.721260962313345,8.473571936477839,37.805167101208816
함양군 ,36945.0,36945.0,1376.0,2686.0,2413.0,2156.0,3666.0,6467.0,8064.0,5278.0,4122.0,699.0,18.0,17922.0,17922.0,692.0,1418.0,1371.0,1136.0,1917.0,3491.0,4138.0,2362.0,1266.0,127.0,4.0,19023.0,19023.0,684.0,1268.0,1042.0,1020.0,1749.0,2976.0,3926.0,2916.0,2856.0,572.0,14.0,,,,,18181.0,4062.0,14702.0,49.21098930843145,10.994721883881445,39.7942888076871
거창군 ,60047.0,60047.0,2984.0,5660.0,5098.0,4442.0,7015.0,10191.0,11386.0,7093.0,5224.0,930.0,24.0,29555.0,29555.0,1548.0,3093.0,2995.0,2358.0,3556.0,5295.0,5728.0,3134.0,1642.0,204.0,2.0,30492.0,30492.0,1436.0,2567.0,2103.0,2084.0,3459.0,4896.0,5658.0,3959.0,3582.0,726.0,22.0,,,,,24657.0,8644.0,26746.0,41.06283411327793,14.395390277615869,44.541775609106196
합천군 ,41203.0,41203.0,1163.0,2155.0,2328.0,2071.0,3554.0,6843.0,9856.0,6818.0,5503.0,880.0,32.0,20132.0,20132.0,611.0,1133.0,1354.0,1174.0,1989.0,3844.0,5143.0,3077.0,1643.0,160.0,4.0,21071.0,21071.0,552.0,1022.0,974.0,897.0,1565.0,2999.0,4713.0,3741.0,3860.0,720.0,28.0,,,,,23089.0,3318.0,14796.0,56.03718175860981,8.052811688469285,35.910006552920905
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
