행정구역,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,,,,,,,,,,sum_60,sum_0_20,sum_20_60,oldAgePercent,childAgePercent,adultAgePercent
경기도  ,13630821,13630821,989550,1320631,1682138,1878734,2256931,2335999,1831793,847103,423029,63061,1852,6855895,6855895,506358,675747,885110,979572,1150795,1177701,914132,391368,159419,15304,389,6774926,6774926,483192,644884,797028,899162,1106136,1158298,917661,455735,263610,47757,1463,,,,,,,,,,3166838,2310181,8153802,23.232921920110314,16.948216105251472,59.81886197463822
수원시 ,1197257,1197257,82636,113383,175839,184342,195012,202330,146108,62753,30244,4483,127,602346,602346,42604,58401,91671,97691,98566,100280,72503,28434,11090,1080,26,594911,594911,40032,54982,84168,86651,96446,102050,73605,34319,19154,3403,101,,,,,,,,,,243715,196019,757523,20.35611401729119,16.37234110971997,63.27154487298884
수원시 장안구 ,270849,270849,15171,26211,40724,33585,41002,49885,36970,16909,8973,1378,41,136145,136145,7724,13536,22271,17982,20345,24714,18336,7545,3364,319,9,134704,134704,7447,12675,18453,15603,20657,25171,18634,9364,5609,1059,32,,,,,,,,,,64271,41382,165196,23.729458111346176,15.278623882680018,60.99191800597381
수원시 권선구 ,366167,366167,25476,32358,49920,57315,59602,62539,48626,20039,8919,1345,28,184970,184970,13212,16623,25802,30690,30920,30775,24155,9230,3232,327,4,181197,181197,12264,15735,24118,26625,28682,31764,24471,10809,5687,1018,24,,,,,,,,,,78957,57834,229376,21.563111913416556,15.794432594963501,62.64245549161994
수원시 팔달구 ,197213,197213,11737,14079,30338,32305,28749,32690,26876,13234,6346,831,28,99290,99290,6044,7290,15345,17499,14981,16554,13055,5985,2321,210,6,97923,97923,5693,6789,14993,14806,13768,16136,13821,7249,4025,621,22,,,,,,,,,,47315,25816,124082,23.991826096656915,13.090414932078515,62.91775897126457
수원시 영통구 ,363028,363028,30252,40735,54857,61137,65659,57216,33636,12571,6006,929,30,181941,181941,15624,20952,28253,31520,32320,28237,16957,5674,2173,224,7,181087,181087,14628,19783,26604,29617,33339,28979,16679,6897,3833,705,23,,,,,,,,,,53172,70987,238869,14.646804103264763,19.554139074671927,65.7990568220633
성남시 ,919747,919747,60026,83353,116584,134145,147372,154797,126893,62339,29497,4602,139,455137,455137,30487,42599,59731,68888,73058,77007,62064,28486,11615,1167,35,464610,464610,29539,40754,56853,65257,74314,77790,64829,33853,17882,3435,104,,,,,,,,,,223470,143379,552898,24.296899038539944,15.588960877284732,60.114140084175325
성남시 수정구 ,235942,235942,14310,16448,30868,36087,35299,39498,36360,18348,7704,987,33,119496,119496,7186,8392,16265,19290,18681,20294,17907,8345,2903,230,3,116446,116446,7124,8056,14603,16797,16618,19204,18453,10003,4801,757,30,,,,,,,,,,63432,30758,141752,26.88457332734316,13.03625467275856,60.079171999898286
성남시 중원구 ,210848,210848,12044,14868,27048,32100,31091,35761,33744,16299,7015,849,29,106515,106515,6048,7669,14036,17346,16367,18060,16604,7498,2701,177,9,104333,104333,5996,7199,13012,14754,14724,17701,17140,8801,4314,672,20,,,,,,,,,,57936,26912,126000,27.477614205494007,12.7636970708757,59.75868872363029
성남시 분당구 ,472957,472957,33672,52037,58668,65958,80982,79538,56789,27692,14778,2766,77,229126,229126,17253,26538,29430,32252,38010,38653,27553,12643,6011,760,23,243831,243831,16419,25499,29238,33706,42972,40885,29236,15049,8767,2006,54,,,,,,,,,,102102,85709,285146,21.5880090579059,18.121943432489633,60.29004750960447
