青沥备开,醚牢备荐,楷飞备埃牢备荐,0~9技,10~19技,20~29技,30~39技,40~49技,50~59技,60~69技,70~79技,80~89技,90~99技,100技 捞惑,醚牢备荐,楷飞备埃牢备荐,0~9技,10~19技,20~29技,30~39技,40~49技,50~59技,60~69技,70~79技,80~89技,90~99技,100技 捞惑,醚牢备荐,楷飞备埃牢备荐,0~9技,10~19技,20~29技,30~39技,40~49技,50~59技,60~69技,70~79技,80~89技,90~99技,100技 捞惑,sum_60,sum_0_20,sum_20_60,oldAgePercent,childAgePercent,adultAgePercent
技辆漂喊磊摹矫  ,386525,386525,43541,50736,37810,59340,77183,54433,37233,16478,8234,1494,43,192524,192524,22122,25585,19199,29268,38244,28501,18533,7793,2972,302,5,194001,194001,21419,25151,18611,30072,38939,25932,18700,8685,5262,1192,38,63482,94277,228766,16.42377595239635,24.390919086734364,59.18530496086929
技辆漂喊磊摹矫 ,386525,386525,43541,50736,37810,59340,77183,54433,37233,16478,8234,1494,43,192524,192524,22122,25585,19199,29268,38244,28501,18533,7793,2972,302,5,194001,194001,21419,25151,18611,30072,38939,25932,18700,8685,5262,1192,38,63482,94277,228766,16.42377595239635,24.390919086734364,59.18530496086929
