진료년도,상별구분,시도,시군구,성별,연령구분,환자수,입내원일수,요양급여비용
2018,우울증,서울,구로구,남,50~59세,363,2783,152820120
2018,우울증,서울,구로구,남,60~69세,372,3065,201678070
2018,우울증,서울,구로구,남,70~79세,296,2452,150790540
2018,우울증,서울,구로구,남,80~89세,120,673,37542590
2018,우울증,서울,구로구,남,90~99세,0,0,0
2018,우울증,서울,구로구,남,100세 이상,0,0,0
2018,우울증,서울,구로구,여,0~9세,0,0,0
2018,우울증,서울,구로구,여,10~19세,378,3858,325743810
2018,우울증,서울,구로구,여,20~29세,1008,7821,499104860
2018,우울증,서울,구로구,여,30~39세,825,6348,333892140
2018,우울증,서울,구로구,여,40~49세,647,5368,293349990
2018,우울증,서울,구로구,여,50~59세,899,7850,452508300
2018,우울증,서울,구로구,여,60~69세,1004,8117,448086920
2018,우울증,서울,구로구,여,70~79세,793,7162,524961530
2018,우울증,서울,구로구,여,80~89세,313,2253,145934840
2018,우울증,서울,구로구,여,90~99세,29,110,5546950
2018,우울증,서울,구로구,여,100세 이상,0,0,0
2018,우울증,서울,도봉구,남,0~9세,0,0,0
2018,우울증,서울,도봉구,남,10~19세,82,731,44973480
2018,우울증,서울,도봉구,남,20~29세,170,1274,69551900
2018,우울증,서울,도봉구,남,30~39세,116,680,33730470
2018,우울증,서울,도봉구,남,40~49세,109,564,25347390
2018,우울증,서울,도봉구,남,50~59세,126,1192,72088310
2018,우울증,서울,도봉구,남,60~69세,159,1056,46697940
2018,우울증,서울,도봉구,남,70~79세,92,609,24218370
2018,우울증,서울,도봉구,남,80~89세,38,260,7229380
2018,우울증,서울,도봉구,남,90~99세,0,0,0
2018,우울증,서울,도봉구,남,100세 이상,0,0,0
2018,우울증,서울,도봉구,여,0~9세,0,0,0
2018,우울증,서울,도봉구,여,10~19세,204,3718,243023640
2018,우울증,서울,도봉구,여,20~29세,256,1510,72287380
2018,우울증,서울,도봉구,여,30~39세,190,1139,53796570
2018,우울증,서울,도봉구,여,40~49세,249,1507,75998110
2018,우울증,서울,도봉구,여,50~59세,282,1638,74776260
2018,우울증,서울,도봉구,여,60~69세,293,1481,64546070
2018,우울증,서울,도봉구,여,70~79세,274,1646,72365540
2018,우울증,서울,도봉구,여,80~89세,150,1026,48094510
2018,우울증,서울,도봉구,여,90~99세,20,109,4240730
2018,우울증,서울,도봉구,여,100세 이상,0,0,0
2018,우울증,서울,동대문구,남,0~9세,0,0,0
2018,우울증,서울,동대문구,남,10~19세,120,1239,105888090
2018,우울증,서울,동대문구,남,20~29세,557,3820,279184030
2018,우울증,서울,동대문구,남,30~39세,285,1771,120125430
2018,우울증,서울,동대문구,남,40~49세,356,2483,153804410
2018,우울증,서울,동대문구,남,50~59세,419,3039,192897970
2018,우울증,서울,동대문구,남,60~69세,453,3362,230526940
2018,우울증,서울,동대문구,남,70~79세,424,3201,199560630
2018,우울증,서울,동대문구,남,80~89세,157,833,42679250
2018,우울증,서울,동대문구,남,90~99세,13,54,4524380
2018,우울증,서울,동대문구,남,100세 이상,0,0,0
2018,우울증,서울,동대문구,여,0~9세,0,0,0
2018,우울증,서울,동대문구,여,10~19세,269,3580,316717060
2018,우울증,서울,동대문구,여,20~29세,793,5500,347238510
2018,우울증,서울,동대문구,여,30~39세,559,4259,316122290
2018,우울증,서울,동대문구,여,40~49세,569,3864,255217940
2018,우울증,서울,동대문구,여,50~59세,858,6122,393230520
2018,우울증,서울,동대문구,여,60~69세,1087,6816,431789070
2018,우울증,서울,동대문구,여,70~79세,1049,6818,392025030
2018,우울증,서울,동대문구,여,80~89세,379,2239,132420910
2018,우울증,서울,동대문구,여,90~99세,35,171,7968830
2018,우울증,서울,동대문구,여,100세 이상,0,0,0
2018,우울증,서울,동작구,남,0~9세,12,69,2707890
2018,우울증,서울,동작구,남,10~19세,197,1650,141998930
2018,우울증,서울,동작구,남,20~29세,708,5387,421402420
2018,우울증,서울,동작구,남,30~39세,421,2875,207392610
2018,우울증,서울,동작구,남,40~49세,383,2721,204699090
2018,우울증,서울,동작구,남,50~59세,399,2412,156267110
2018,우울증,서울,동작구,남,60~69세,459,2641,178523190
2018,우울증,서울,동작구,남,70~79세,419,2244,141186540
2018,우울증,서울,동작구,남,80~89세,161,860,61271880
2018,우울증,서울,동작구,남,90~99세,10,53,3031750
2018,우울증,서울,동작구,남,100세 이상,0,0,0
2018,우울증,서울,동작구,여,0~9세,0,0,0
2018,우울증,서울,동작구,여,10~19세,280,2693,271041750
2018,우울증,서울,동작구,여,20~29세,990,7788,577871390
2018,우울증,서울,동작구,여,30~39세,710,5876,423234400
2018,우울증,서울,동작구,여,40~49세,598,4364,287492360
2018,우울증,서울,동작구,여,50~59세,876,5966,438133260
2018,우울증,서울,동작구,여,60~69세,1014,6104,445720560
